component_id,lot_id,device_type,temperature_C,parameter_name,unit,value_0h,value_24h,value_96h,value_168h,outcome,failure_time_h,behavior_class_synthetic_only,data_source
C00309,L002,generic_semiconductor_v0,125,leakage_current,uA,31.186,33.017,32.603,32.936,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00079,L001,generic_semiconductor_v0,85,leakage_current,uA,13.839,13.288,14.219,14.894,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00051,L001,generic_semiconductor_v0,25,leakage_current,uA,6.559,8.039,7.989,7.55,pass,,noisy_healthy,synthetic_draft_v0_pending_minitab_grounding
C00213,L002,generic_semiconductor_v0,25,leakage_current,uA,8.045,8.252,8.471,8.239,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00173,L001,generic_semiconductor_v0,125,leakage_current,uA,25.419,26.013,28.441,31.804,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00304,L002,generic_semiconductor_v0,125,leakage_current,uA,21.133,22.071,23.01,24.48,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00477,L003,generic_semiconductor_v0,85,leakage_current,uA,22.668,23.593,22.486,24.462,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00220,L002,generic_semiconductor_v0,25,leakage_current,uA,6.997,7.787,11.215,14.855,monitor,,slow_drift,synthetic_draft_v0_pending_minitab_grounding
C00214,L002,generic_semiconductor_v0,25,leakage_current,uA,8.057,8.367,9.997,11.3,pass,,noisy_healthy,synthetic_draft_v0_pending_minitab_grounding
C00344,L002,generic_semiconductor_v0,125,leakage_current,uA,26.99,91.55,87.699,83.424,fail,24,sudden_spike,synthetic_draft_v0_pending_minitab_grounding
C00111,L001,generic_semiconductor_v0,85,leakage_current,uA,15.509,16.38,18.527,17.116,pass,,noisy_healthy,synthetic_draft_v0_pending_minitab_grounding
C00431,L003,generic_semiconductor_v0,85,leakage_current,uA,13.724,13.782,14.023,15.292,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00106,L001,generic_semiconductor_v0,85,leakage_current,uA,22.656,21.412,106.885,32.225,fail,96,spike_recovery,synthetic_draft_v0_pending_minitab_grounding
C00110,L001,generic_semiconductor_v0,85,leakage_current,uA,17.077,17.754,17.826,19.625,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00354,L002,generic_semiconductor_v0,125,leakage_current,uA,31.545,38.029,92.77,204.406,fail,96,accelerating_drift,synthetic_draft_v0_pending_minitab_grounding
C00229,L002,generic_semiconductor_v0,25,leakage_current,uA,8.404,10.307,8.445,10.524,pass,,noisy_healthy,synthetic_draft_v0_pending_minitab_grounding
C00133,L001,generic_semiconductor_v0,125,leakage_current,uA,27.834,26.356,28.202,27.866,pass,,noisy_healthy,synthetic_draft_v0_pending_minitab_grounding
C00343,L002,generic_semiconductor_v0,125,leakage_current,uA,25.337,26.519,24.997,29.215,pass,,noisy_healthy,synthetic_draft_v0_pending_minitab_grounding
C00499,L003,generic_semiconductor_v0,125,leakage_current,uA,33.139,33.405,36.975,35.355,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00038,L001,generic_semiconductor_v0,25,leakage_current,uA,7.1,8.502,10.007,11.221,monitor,,slow_drift,synthetic_draft_v0_pending_minitab_grounding
C00218,L002,generic_semiconductor_v0,25,leakage_current,uA,5.69,5.736,11.297,20.484,investigate,,accelerating_drift,synthetic_draft_v0_pending_minitab_grounding
C00187,L002,generic_semiconductor_v0,25,leakage_current,uA,9.544,9.693,11.425,11.557,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00275,L002,generic_semiconductor_v0,85,leakage_current,uA,15.465,17.165,23.38,25.49,monitor,,slow_drift,synthetic_draft_v0_pending_minitab_grounding
C00399,L003,generic_semiconductor_v0,25,leakage_current,uA,8.945,9.228,9.804,9.729,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00427,L003,generic_semiconductor_v0,85,leakage_current,uA,19.982,21.292,21.854,23.085,pass,,noisy_healthy,synthetic_draft_v0_pending_minitab_grounding
C00462,L003,generic_semiconductor_v0,85,leakage_current,uA,16.32,16.921,16.872,17.755,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00489,L003,generic_semiconductor_v0,125,leakage_current,uA,34.508,35.065,38.353,39.152,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00280,L002,generic_semiconductor_v0,85,leakage_current,uA,18.754,21.308,27.974,34.817,monitor,,slow_drift,synthetic_draft_v0_pending_minitab_grounding
C00255,L002,generic_semiconductor_v0,85,leakage_current,uA,14.291,14.025,14.924,14.389,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00246,L002,generic_semiconductor_v0,85,leakage_current,uA,17.206,16.702,17.345,18.38,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00230,L002,generic_semiconductor_v0,25,leakage_current,uA,7.511,8.131,8.829,8.821,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00175,L001,generic_semiconductor_v0,125,leakage_current,uA,28.497,29.281,29.638,30.493,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00101,L001,generic_semiconductor_v0,85,leakage_current,uA,20.505,24.548,32.886,42.716,monitor,,slow_drift,synthetic_draft_v0_pending_minitab_grounding
C00258,L002,generic_semiconductor_v0,85,leakage_current,uA,21.481,21.741,24.338,24.477,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
